_id,userId,trackedAt,mood,reasonId
cbc1bca5-ec57-445b-8252-d924220ad8bc,9fa70346-5889-4470-b051-e0184579c801,2020-01-29 19:35:11,super-happy,5b0da346abb35bed38c2ce70
707c2133-d9f6-4a6d-be85-ea863137e33b,a1c61572-c943-4f35-9fd4-7778b32a60f8,2020-01-16 14:46:16,angry,57d9dc1de66d040ed4e4969e
7cb83188-0309-4947-b936-0582a82ce406,65b8ed1f-4e69-40a3-927a-3a001eb5bb64,2020-01-07 20:28:18,angry,5c6c2a259c79eca733d4dd1b
5bada2fc-17dc-43d0-b80a-4c63892f56be,766d7163-710d-4bc9-8677-312d9418b35c,2020-01-29 14:22:08,angry,5b0d5ce1abb35bed38c2ce52
1a55e5b6-2607-4d74-9bbd-bd068bf64edc,b136d1d1-37c2-43cd-8df2-a5291b09eb5e,2020-01-01 17:06:05,sad,5b0da346abb35bed38c2ce70
cd9c894f-901a-40cc-9afa-267e262628e4,5e4082a6-8367-43b6-8b9a-58464cc394c9,2020-01-21 23:01:01,ok,5bf3e6d99c79eca733d4addb
6684a0dd-6be7-4d18-830e-67d35090cd29,f0854ccf-3c94-4e6a-83db-f64bd9353da7,2020-01-13 02:43:55,sad,5c6c2a229c79eca733d4dd15
887cdcd2-d360-4ea5-803d-d5395191db8b,b3d9721f-05bf-4113-8855-f17825df3964,2020-01-07 18:04:16,sad,58dd776a5329db0c4d80c32b
b3dc2b54-7cb8-4d32-93fd-3849f28713ca,3a6701e9-ccb1-4825-a3d7-c508defa76a0,2020-01-11 00:22:25,angry,57d9dc20e66d040ed4e496c3
855a741a-5a09-456f-a661-e62ca0a79174,05970778-3990-4ecf-b745-2f6b0e90c709,2020-01-27 22:25:09,super-happy,58335abb514129a045865b08
813f1173-5d46-4dd5-b5b8-6ad664e782e3,a22afa91-46b4-4b27-8f2e-cb0766bda364,2020-01-06 12:45:20,happy,5b0d5ce1abb35bed38c2ce52
dbc8b327-5aff-40d4-b254-cb6e07c77f5e,9dc27fed-7759-4297-81a7-1f0ddbbab12f,2020-01-30 00:55:25,sad,5c6c2a219c79eca733d4dd14
7659ad93-2499-46b3-bbbf-fb43983b415b,717f09e3-3684-4a18-81ef-93e46453cb77,2020-01-02 22:34:58,ok,57db1d10e66d090e6410b866
a21a5d71-13b0-40f7-bd6b-278860aaf034,13ddad8f-1339-4b68-80a5-1969ae9d4ce4,2020-01-23 21:03:11,super-happy,5db17534d0f3fe373559cce1
acbf1b41-1231-48fb-9659-d9bd271ccbfc,91443e6d-9f50-4bd1-9a4e-efed62096080,2020-01-01 15:51:55,happy,5c6c2a229c79eca733d4dd15
cc98854f-3eda-4021-b394-705e825031a5,4c9a26c3-9907-42b5-af80-4298df4912de,2020-01-23 13:33:56,super-happy,5c6c2a229c79eca733d4dd16
0eb13f43-f5b0-46f7-9f01-4433ae5c8e5e,2cff667d-8de8-4b61-ac9a-82062c1bb1ec,2020-01-29 20:57:19,ok,57d9dc1ee66d040ed4e496aa
8324a347-30e1-49cf-ad43-53f9d1a2ce94,b1c6064d-6585-4d6b-a62c-59b171efb2db,2020-01-29 21:25:20,angry,57d9dc21e66d040ed4e496ca
f6cc4f2d-7006-4a78-8e71-c9ec4d6dbd0c,8df8841c-ce5f-4a2e-bd20-a59fd8d58b61,2020-01-23 02:33:18,super-happy,5b0d9dffabb35bed38c2ce6e
be1621f5-c379-4cda-b91e-f263cba32ee6,57335f5f-e56e-49b9-8617-1970bfd84eb1,2020-01-14 16:19:33,sad,5db17534d0f3fe373559cce1
f35d3577-5413-4fa5-8ead-0d568daa329d,b90ebece-6625-4d8a-a086-855f906e673c,2020-01-18 20:49:11,happy,57d9dc1de66d040ed4e4969d
0aed3a0d-09ff-4fb3-98c1-8d5f24c7877d,a22afa91-46b4-4b27-8f2e-cb0766bda364,2020-01-07 21:37:38,super-happy,5c6aa1d29c79eca733d4dbd5
d9013d85-c2f7-4c3d-ad59-b2d3a92b8ee0,2a282cf3-e894-43b9-86b3-da66eabe2bfa,2020-01-18 01:54:56,sad,5c6c2a1f9c79eca733d4dd11
f65ab43b-9e89-49a9-92a5-aa80434e451e,391ed673-8bbf-420d-b03b-b0356a90a531,2020-01-02 13:06:27,angry,57d9dc1fe66d040ed4e496b9
e7bf6149-c1ea-4377-a1bc-69e1152d2895,a8788a93-7d58-4d02-a2ac-2e53a3d89c8b,2020-01-02 01:23:55,sad,57d9dc1fe66d040ed4e496b3
7510de02-b9ea-4f6a-8d86-859cac06edcb,059849c7-5a1e-4c18-9892-fcd0ef571c58,2020-01-15 22:21:46,super-happy,5b0d9da9abb35bed38c2ce6d
6fe0489c-e171-44cd-ab30-a84148709d7b,0800fa39-6181-4cbf-b899-1914a8c37671,2020-01-27 22:01:57,sad,5c6aa1e49c79eca733d4dbf3
